Entity,Year,Life expectancy
Australia,1802,34.049999
Australia,1803,34.049999
Australia,1804,34.049999
Australia,1805,34.049999
Australia,1806,34.049999
Australia,1807,34.049999
Australia,1808,34.049999
Australia,1809,34.049999
Australia,1810,34.049999
Australia,1811,34.049999
Australia,1812,34.049999
Australia,1813,34.049999
Australia,1814,34.049999
Australia,1815,34.049999
Australia,1816,34.049999
Australia,1817,34.049999
Australia,1818,34.049999
Australia,1819,34.049999
Australia,1820,34.049999
Australia,1821,34.049999
Australia,1822,34.049999
Australia,1823,34.049999
Australia,1824,34.049999
Australia,1825,34.049999
Australia,1826,34.049999
Australia,1827,34.049999
Australia,1828,34.049999
Australia,1829,34.049999
Australia,1830,34.049999
Australia,1831,34.049999
Australia,1832,34.049999
Australia,1833,34.049999
Australia,1834,34.049999
Australia,1835,34.049999
Australia,1836,34.049999
Australia,1837,34.049999
Australia,1838,34.049999
Australia,1839,34.049999
Australia,1840,34.049999
Australia,1841,34.049999
Australia,1842,34.049999
Australia,1843,34.049999
Australia,1844,34.049999
Australia,1845,34.049999
Australia,1846,34.049999
Australia,1847,34.049999
Australia,1848,34.049999
Australia,1849,34.049999
Australia,1850,34.049999
Australia,1851,34.049999
Australia,1852,34.049999
Australia,1853,34.049999
Australia,1854,34.049999
Australia,1855,34.049999
Australia,1856,34.049999
Australia,1857,34.049999
Australia,1858,34.049999
Australia,1859,34.049999
Australia,1860,34.049999
Australia,1861,34.049999
Australia,1862,34.049999
Australia,1863,34.049999
Australia,1864,34.049999
Australia,1865,34.049999
Australia,1866,34.049999
Australia,1867,34.049999
Australia,1868,34.049999
Australia,1869,34.049999
Australia,1870,34.049999
Australia,1871,34.579216
Australia,1872,35.108433
Australia,1873,35.637646
Australia,1874,36.166862
Australia,1875,36.696079
Australia,1876,37.225296
Australia,1877,37.754509
Australia,1878,38.283726
Australia,1879,38.812943
Australia,1880,39.342155
Australia,1881,39.871372
Australia,1882,40.400589
Australia,1883,40.929806
Australia,1884,41.459019
Australia,1885,41.988235
Australia,1886,42.517452
Australia,1887,43.046665
Australia,1888,43.575882
Australia,1889,44.105099
Australia,1890,44.634315
Australia,1891,45.163528
Australia,1892,45.692745
Australia,1893,46.221962
Australia,1894,46.751175
Australia,1895,47.280392
Australia,1896,47.809608
Australia,1897,48.338825
Australia,1898,48.868038
Australia,1899,49.397255
Australia,1900,49.926472
Australia,1901,50.455685
Australia,1902,50.984901
Australia,1903,51.514118
Australia,1904,52.043335
Australia,1905,52.572548
Australia,1906,53.101765
Australia,1907,53.630981
Australia,1908,54.160194
Australia,1909,54.689411
Australia,1910,55.218628
Australia,1911,55.747845
Australia,1912,56.277058
Australia,1913,56.806274
Australia,1914,57.335491
Australia,1915,57.864704
Australia,1916,58.393921
Australia,1917,58.923138
Australia,1918,54.802391
Australia,1919,59.981567
Australia,1920,60.510784
Australia,1921,61.040001
Australia,1922,62.889999
Australia,1923,61.73
Australia,1924,62.529999
Australia,1925,63.220001
Australia,1926,62.939999
Australia,1927,62.91
Australia,1928,62.959999
Australia,1929,63.150002
Australia,1930,64.959999
Australia,1931,65.389999
Australia,1932,65.690002
Australia,1933,65.519997
Australia,1934,64.879997
Australia,1935,65.150002
Australia,1936,65.269997
Australia,1937,65.830002
Australia,1938,65.870003
Australia,1939,65.82
Australia,1940,66.260002
Australia,1941,66.139999
Australia,1942,65.879997
Australia,1943,66.400002
Australia,1944,68.029999
Australia,1945,68.459999
Australia,1946,67.980003
Australia,1947,68.589996
Australia,1948,68.510002
Australia,1949,69.129997
Australia,1950,69.019997
Australia,1951,68.720001
Australia,1952,69.120003
Australia,1953,69.699997
Australia,1954,69.849998
Australia,1955,70.169998
Australia,1956,70.050003
Australia,1957,70.330002
Australia,1958,70.879997
Australia,1959,70.449997
Australia,1960,70.889999
Australia,1961,71.160004
Australia,1962,70.93
Australia,1963,70.989998
Australia,1964,70.650002
Australia,1965,70.980003
Australia,1966,70.82
Australia,1967,71.099998
Australia,1968,70.730003
Australia,1969,71.139999
Australia,1970,70.809998
Australia,1971,71.410004
Australia,1972,71.93
Australia,1973,72.139999
Australia,1974,71.889999
Australia,1975,72.839996
Australia,1976,72.879997
Australia,1977,73.489998
Australia,1978,73.879997
Australia,1979,74.440002
Australia,1980,74.599998
Australia,1981,74.959999
Australia,1982,74.739998
Australia,1983,75.550003
Australia,1984,76.019997
Australia,1985,75.449997
Australia,1986,76.129997
Australia,1987,76.32
Australia,1988,76.349998
Australia,1989,76.449997
Australia,1990,77.019997
Australia,1991,77.389999
Australia,1992,77.620003
Australia,1993,77.889999
Australia,1994,78.050003
Australia,1995,78.300003
Australia,1996,78.5
Australia,1997,78.800003
Australia,1998,79.110001
Australia,1999,79.400002
Australia,2000,79.709999
Australia,2001,80.019997
Australia,2002,80.239998
Australia,2003,80.540001
Australia,2004,80.809998
Australia,2005,81.089996
Australia,2006,81.269997
Australia,2007,81.43
Australia,2008,81.580002
Australia,2009,81.790001
Australia,2010,81.989998
Australia,2011,82.150002
Australia,2012,82.330002
Australia,2013,82.529999
Australia,2014,82.580002
Australia,2015,82.550003
Australia,2016,82.519997
Brazil,1800,32
Brazil,1801,31.999807
Brazil,1802,31.999613
Brazil,1803,31.99942
Brazil,1804,31.999228
Brazil,1805,31.999033
Brazil,1806,31.99884
Brazil,1807,31.998646
Brazil,1808,31.998453
Brazil,1809,31.99826
Brazil,1810,31.998066
Brazil,1811,31.997873
Brazil,1812,31.997681
Brazil,1813,31.997486
Brazil,1814,31.997293
Brazil,1815,31.997101
Brazil,1816,31.996906
Brazil,1817,31.996714
Brazil,1818,31.996519
Brazil,1819,31.996326
Brazil,1820,31.996134
Brazil,1821,31.995939
Brazil,1822,31.995747
Brazil,1823,31.995554
Brazil,1824,31.995359
Brazil,1825,31.995167
Brazil,1826,31.994974
Brazil,1827,31.99478
Brazil,1828,31.994587
Brazil,1829,31.994392
Brazil,1830,31.9942
Brazil,1831,31.994007
Brazil,1832,31.993813
Brazil,1833,31.99362
Brazil,1834,31.993427
Brazil,1835,31.993233
Brazil,1836,31.99304
Brazil,1837,31.992847
Brazil,1838,31.992653
Brazil,1839,31.99246
Brazil,1840,31.992268
Brazil,1841,31.992073
Brazil,1842,31.99188
Brazil,1843,31.991686
Brazil,1844,31.991493
Brazil,1845,31.991301
Brazil,1846,31.991106
Brazil,1847,31.990913
Brazil,1848,31.990721
Brazil,1849,31.990526
Brazil,1850,31.990334
Brazil,1851,31.990141
Brazil,1852,31.989946
Brazil,1853,31.989754
Brazil,1854,31.989559
Brazil,1855,31.989367
Brazil,1856,31.989174
Brazil,1857,31.988979
Brazil,1858,31.988787
Brazil,1859,31.988594
Brazil,1860,31.9884
Brazil,1861,31.988207
Brazil,1862,31.988014
Brazil,1863,31.98782
Brazil,1864,31.987627
Brazil,1865,31.987432
Brazil,1866,31.98724
Brazil,1867,31.987047
Brazil,1868,31.986853
Brazil,1869,31.98666
Brazil,1870,31.986467
Brazil,1871,31.986273
Brazil,1872,31.98608
Brazil,1873,31.985888
Brazil,1874,31.985693
Brazil,1875,31.9855
Brazil,1876,31.985306
Brazil,1877,31.985113
Brazil,1878,31.984921
Brazil,1879,31.984726
Brazil,1880,31.984533
Brazil,1881,31.984341
Brazil,1882,31.984146
Brazil,1883,31.983953
Brazil,1884,31.983761
Brazil,1885,31.983566
Brazil,1886,31.983374
Brazil,1887,31.983179
Brazil,1888,31.982986
Brazil,1889,31.982794
Brazil,1890,31.982599
Brazil,1891,31.982407
Brazil,1892,31.982214
Brazil,1893,31.982019
Brazil,1894,31.981827
Brazil,1895,31.981634
Brazil,1896,31.98144
Brazil,1897,31.981247
Brazil,1898,31.981052
Brazil,1899,31.98086
Brazil,1900,31.980667
Brazil,1901,31.980473
Brazil,1902,31.98028
Brazil,1903,31.980087
Brazil,1904,31.979893
Brazil,1905,31.9797
Brazil,1906,31.979507
Brazil,1907,31.979313
Brazil,1908,31.97912
Brazil,1909,31.978928
Brazil,1910,31.978733
Brazil,1911,31.97854
Brazil,1912,31.978346
Brazil,1913,31.978153
Brazil,1914,31.977961
Brazil,1915,31.977766
Brazil,1916,31.977573
Brazil,1917,31.977381
Brazil,1918,26.978191
Brazil,1919,31.976994
Brazil,1920,31.976801
Brazil,1921,31.97912
Brazil,1922,31.98144
Brazil,1923,31.983761
Brazil,1924,31.98608
Brazil,1925,31.9884
Brazil,1926,31.990721
Brazil,1927,31.99304
Brazil,1928,31.995359
Brazil,1929,31.997681
Brazil,1930,32
Brazil,1931,32.464073
Brazil,1932,32.928143
Brazil,1933,33.392216
Brazil,1934,33.856289
Brazil,1935,34.320358
Brazil,1936,34.784431
Brazil,1937,35.248505
Brazil,1938,35.712578
Brazil,1939,36.176647
Brazil,1940,36.64072
Brazil,1941,37.772575
Brazil,1942,38.90443
Brazil,1943,40.036289
Brazil,1944,41.168144
Brazil,1945,42.299999
Brazil,1946,43.848
Brazil,1947,45.396
Brazil,1948,46.944
Brazil,1949,48.492001
Brazil,1950,50.040001
Brazil,1951,50.279999
Brazil,1952,50.763
Brazil,1953,51.248001
Brazil,1954,51.737
Brazil,1955,52.23
Brazil,1956,52.724998
Brazil,1957,53.222
Brazil,1958,53.720001
Brazil,1959,54.214001
Brazil,1960,54.702
Brazil,1961,55.179001
Brazil,1962,55.643002
Brazil,1963,56.091
Brazil,1964,56.521
Brazil,1965,56.935001
Brazil,1966,57.334
Brazil,1967,57.722
Brazil,1968,58.105
Brazil,1969,58.484001
Brazil,1970,58.865002
Brazil,1971,59.250999
Brazil,1972,59.644001
Brazil,1973,60.042
Brazil,1974,60.443001
Brazil,1975,60.844002
Brazil,1976,61.236
Brazil,1977,61.615002
Brazil,1978,61.978001
Brazil,1979,62.327999
Brazil,1980,62.668999
Brazil,1981,63.007999
Brazil,1982,63.353001
Brazil,1983,63.709999
